"id","code","name"
Cat_019_27400,27400,"Fabricación de equipo eléctrico de iluminación"
Cat_019_27500,27500,"Fabricación de aparatos de uso doméstico"
Cat_019_27900,27900,"Fabricación de otros tipos de equipo eléctrico"
Cat_019_28110,28110,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
Cat_019_28120,28120,"Fabricación de equipo hidráulico"
Cat_019_28130,28130,"Fabricación de otras bombas, compresores, grifos y válvulas"
Cat_019_28140,28140,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
Cat_019_28150,28150,"Fabricación de hornos y quemadores"
Cat_019_28160,28160,"Fabricación de equipo de elevación y manipulación"
Cat_019_28170,28170,"Fabricación de maquinaria y equipo de oficina"
Cat_019_28180,28180,"Fabricación de herramientas manuales"
Cat_019_28190,28190,"Fabricación de otros tipos de maquinaria de uso general"
Cat_019_28210,28210,"Fabricación de maquinaria agropecuaria y forestal"
Cat_019_28220,28220,"Fabricación de máquinas para conformar metales y maquinaria herramienta"
Cat_019_28230,28230,"Fabricación de maquinaria metalúrgica"
Cat_019_28240,28240,"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción"
Cat_019_28250,28250,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
Cat_019_28260,28260,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
Cat_019_28291,28291,"Fabricación de máquinas para imprenta"
Cat_019_28299,28299,"Fabricación de maquinaria de uso especial ncp"
Cat_019_29100,29100,"Fabricación vehículos automotores"
Cat_019_29200,29200,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques"
Cat_019_29300,29300,"Fabricación de partes, piezas y accesorios para vehículos automotores"
Cat_019_30110,30110,"Fabricación de buques"
Cat_019_30120,30120,"Construcción y reparación de embarcaciones de recreo"
Cat_019_30200,30200,"Fabricación de locomotoras y de material rodante"
Cat_019_30300,30300,"Fabricación de aeronaves y naves espaciales"
Cat_019_30400,30400,"Fabricación de vehículos militares de combate"
Cat_019_30910,30910,"Fabricación de motocicletas"
Cat_019_30920,30920,"Fabricación de bicicletas y sillones de ruedas para inválidos"
Cat_019_30990,30990,"Fabricación de equipo de transporte ncp"
Cat_019_31001,31001,"Fabricación de colchones y somier"
Cat_019_31002,31002,"Fabricación de muebles y otros productos de madera a medida"
Cat_019_31008,31008,"Servicios de maquilado de muebles"
Cat_019_31009,31009,"Fabricación de muebles ncp"
Cat_019_32110,32110,"Fabricación de joyas platerías y joyerías"
Cat_019_32120,32120,"Fabricación de joyas de imitación (fantasía) y artículos conexos"
Cat_019_32200,32200,"Fabricación de instrumentos musicales"
Cat_019_32301,32301,"Fabricación de artículos de deporte"
Cat_019_32308,32308,"Servicio de maquila de productos deportivos"
Cat_019_32401,32401,"Fabricación de juegos de mesa y de salón"
Cat_019_32402,32402,"Servicio de maquilado de juguetes y juegos"
Cat_019_32409,32409,"Fabricación de juegos y juguetes n.c.p."
Cat_019_32500,32500,"Fabricación de instrumentos y materiales médicos y odontológicos"
Cat_019_32901,32901,"Fabricación de lápices, bolígrafos, sellos y artículos de librería en general"
Cat_019_32902,32902,"Fabricación de escobas, cepillos, pinceles y similares"
Cat_019_32903,32903,"Fabricación de artesanías de materiales diversos"
Cat_019_32904,32904,"Fabricación de artículos de uso personal y domésticos n.c.p."
Cat_019_32905,32905,"Fabricación de accesorios para las confecciones y la marroquinería n.c.p."
Cat_019_32908,32908,"Servicios de maquila ncp"
Cat_019_32909,32909,"Fabricación de productos manufacturados n.c.p."
Cat_019_33110,33110,"Reparación y mantenimiento de productos elaborados de metal"
